metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1788276908966.929,8cf2662b-319b-4ab5-8415-7cf9132686da,,,
ttfa_talker_thread_start_ms,1788276908968.4353,8cf2662b-319b-4ab5-8415-7cf9132686da,,,
ttfa_first_decode_step_ms,1788276912588.4558,8cf2662b-319b-4ab5-8415-7cf9132686da,,,
ttfa_first_chunk_emit_ms,1788276914021.2456,8cf2662b-319b-4ab5-8415-7cf9132686da,,,
ttfa_first_decode_complete_ms,1788276914200.0815,8cf2662b-319b-4ab5-8415-7cf9132686da,0,,
progressive_chunk_emit_ms,1788276914200.0815,8cf2662b-319b-4ab5-8415-7cf9132686da,0,,
ttfa_first_playback_write_ms,1788276914220.3284,8cf2662b-319b-4ab5-8415-7cf9132686da,0,,
first_chunk_latency_ms,5233.152627944946,8cf2662b-319b-4ab5-8415-7cf9132686da,,,
progressive_chunk_playback_arrival_ms,1788276916464.473,8cf2662b-319b-4ab5-8415-7cf9132686da,0,False,53205
progressive_chunk_audio_duration_ms,2216.875,8cf2662b-319b-4ab5-8415-7cf9132686da,0,,
