metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1789403485031.7188,,,,
ttfa_talker_thread_start_ms,1789403485660.434,,,,
ttfa_generation_start_ms,1789403488323.4146,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,,,
ttfa_first_decode_step_ms,1789403489178.8855,,,,
ttfa_first_chunk_emit_ms,1789403490176.6711,,,,
ttfa_first_decode_complete_ms,1789403490259.0244,no-registry,0,,
progressive_chunk_emit_ms,1789403490260.0273,,0,,
first_chunk_latency_ms,5228.30867767334,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_talker_thread_start_ms,1789403490263.5444,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,,,
ttfa_first_decode_step_ms,1789403490357.3362,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,,,
ttfa_first_chunk_emit_ms,1789403491740.298,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,,,
ttfa_first_decode_complete_ms,1789403491881.888,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,0,,
progressive_chunk_emit_ms,1789403491881.888,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,0,,
ttfa_first_playback_write_ms,1789403491913.206,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,0,,
progressive_chunk_emit_ms,1789403493346.6877,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,1,,
progressive_chunk_playback_arrival_ms,1789403493975.936,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,0,False,47445
progressive_chunk_audio_duration_ms,1976.875,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,0,,
progressive_chunk_emit_ms,1789403494629.1497,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,2,,
progressive_chunk_emit_ms,1789403495874.2295,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,3,,
progressive_chunk_playback_arrival_ms,1789403496025.9534,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,1,False,48000
progressive_chunk_audio_duration_ms,2000.0,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,1,,
progressive_chunk_emit_ms,1789403497280.5474,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,4,,
progressive_chunk_playback_arrival_ms,1789403498075.6965,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,2,False,48000
progressive_chunk_audio_duration_ms,2000.0,0abc832c-d245-4fbb-8c4d-e4ed7bd7cacc,2,,
