run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,median_decode_chunk_ms,n_decode_samples,consumer_chunks_held,first_emit_path,first_emit_frames,independent_ttfa_bracket_ms,bracket_slack_ms,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,79.728515625,0.50341796875,79.22509765625,1066.6279296875,46.3837890625,0.0,0.0,1192.7402019500732,1192.740234375,2,36.56055004103109,2,1,threshold,25,1192.7767999004573,0.03656552545726299,,,,,1192.740234375,0.0,2296.875,1372.4472522735596,True,25,short,auto,auto
0,82.089599609375,0.50390625,81.585693359375,1062.89599609375,48.315673828125,0.504150390625,0.0,1193.3012008666992,1193.30126953125,2,38.39279996464029,2,1,threshold,25,1193.4502000221983,0.14893049094825983,,,,,1193.30126953125,0.0,2536.875,1514.6892070770264,False,25,short,auto,auto
1,80.599365234375,0.504150390625,80.09521484375,991.9287109375,25.68701171875,1.00244140625,0.0,1098.215103149414,1098.215087890625,1,26.14689990878105,1,1,residual_flush,24,1098.8104999996722,0.5954121090471745,,,,,1098.215087890625,0.0,1896.875,1105.2520275115967,False,25,short,auto,auto
2,80.8203125,1.003173828125,79.817138671875,1069.4404296875,46.801025390625,1.5234375,0.0,1197.0617771148682,1197.061767578125,2,40.17399996519089,2,1,threshold,25,1197.7868999820203,0.7251324038952589,,,,,1197.061767578125,0.0,2056.875,1259.74440574646,False,25,short,auto,auto
3,76.910888671875,1.001708984375,75.9091796875,828.087890625,27.865234375,0.50244140625,0.0,932.8641891479492,932.864013671875,1,28.034199960529804,1,1,residual_flush,20,933.1982999574393,0.3342862855643034,,,,,932.864013671875,0.0,1576.875,938.9338493347168,False,25,short,auto,auto
4,79.9951171875,0.502685546875,79.492431640625,1065.77978515625,60.58984375,0.506591796875,0.0,1206.364631652832,1206.36474609375,2,43.79804997006431,2,1,threshold,25,1206.5259999362752,0.16125384252518415,,,,,1206.36474609375,0.0,2296.875,1377.9218196868896,False,25,short,auto,auto
5,80.490478515625,1.505859375,78.984619140625,1055.390869140625,52.308837890625,1.003173828125,0.0,1188.190221786499,1188.190185546875,2,41.41445003915578,2,1,threshold,25,1188.5707000037655,0.38051445689052343,,,,,1188.190185546875,0.0,2136.875,1284.4388484954834,False,25,short,auto,auto
6,78.54736328125,1.00390625,77.54345703125,1026.08935546875,59.469482421875,0.0,0.0,1164.1061305999756,1164.106201171875,2,42.574499966576695,2,1,threshold,25,1164.2407999606803,0.13459878880530596,,,,,1164.106201171875,0.0,2456.875,1435.088872909546,False,25,short,auto,auto
7,78.9990234375,0.50341796875,78.49560546875,1041.24609375,55.671875,0.0,0.0,1175.9169101715088,1175.9169921875,2,41.37205000733957,2,1,threshold,25,1175.959900021553,0.04290783405303955,,,,,1175.9169921875,0.0,2216.875,1315.9587383270264,False,25,short,auto,auto
8,77.622314453125,0.502685546875,77.11962890625,1047.339599609375,65.39306640625,0.0,0.0,1190.3550624847412,1190.35498046875,2,46.09680001158267,2,1,threshold,25,1190.2953000972047,-0.059680371545255184,,,,,1190.35498046875,0.0,2296.875,1371.983528137207,False,25,short,auto,auto
9,77.014404296875,1.002685546875,76.01171875,1053.753173828125,53.83544921875,0.0,0.0,1184.602975845337,1184.60302734375,2,40.834450046531856,2,1,threshold,25,1185.0941999582574,0.49117261450737715,,,,,1184.60302734375,0.0,2296.875,1360.0966930389404,False,25,short,auto,auto
