id,label,text
1,Greeting,Hello! How can I help you today?
2,Thanks,Thank you very much!
3,Goodbye,It was nice talking to you. Have a great day!
4,Thinking,Let me think about that for a moment...
5,Affirmative,Yes absolutely!
6,Negative,I'm sorry
7,BRB,Be right back
8,"OneM
oment",One moment please
9,Laugh,Haha that's funny!
10,Agree,I agree with you
11,Disagree,I see it differently
12,GoodMorning,Good morning!
13,GoodAfternoon,Good afternoon!
14,GoodEvening,Good evening!
15,HowAreYou,How are you doing today?
